Actual Time	Age	Community Building	Community Membership_Family	Community Membership_Hobbies	Community Membership_None	Community Membership_Other	Community Membership_Political	Community Membership_Professional	Community Membership_Religious	Community Membership_Support	Country	Disability_Cognitive	Disability_Hearing	Disability_Motor	Disability_Not Impaired	Disability_Not Say	Disability_Vision	Education Attainment	Falsification of Information	Gender	Household Income	How You Heard About Survey_Banner	How You Heard About Survey_Friend	How You Heard About Survey_Mailing List	How You Heard About Survey_Others	How You Heard About Survey_Printed Media	How You Heard About Survey_Remebered	How You Heard About Survey_Search Engine	How You Heard About Survey_Usenet News	How You Heard About Survey_WWW Page	Major Geographical Location	Major Occupation	Marital Status	Most Import Issue Facing the Internet	Opinions on Censorship	Primary Computing Platform	Primary Language	Primary Place of WWW Access	Race	Not Purchasing_Bad experience	Not Purchasing_Bad press	Not Purchasing_Cant find	Not Purchasing_Company policy	Not Purchasing_Easier locally	Not Purchasing_Enough info	Not Purchasing_Judge quality	Not Purchasing_Never tried	Not Purchasing_No credit	Not Purchasing_Not applicable	Not Purchasing_Not option	Not Purchasing_Other	Not Purchasing_Prefer people	Not Purchasing_Privacy	Not Purchasing_Receipt	Not Purchasing_Security	Not Purchasing_Too complicated	Not Purchasing_Uncomfortable	Not Purchasing_Unfamiliar vendor	Registered to Vote	Sexual Preference	Web Ordering	Web Page Creation	Who Pays for Access_Don't Know	Who Pays for Access_Other	Who Pays for Access_Parents	Who Pays for Access_School	Who Pays for Access_Self	Who Pays for Access_Work	Willingness to Pay Fees	Years on Internet	who
K-12 Student	17	Equally	0	0	0	1	0	0	0	0	Louisiana	0	0	0	1	0	0	Grammar	Under 25	Male	$30-39	0	0	0	0	0	0	0	0	1	USA	Education	Single	Privacy	1	Win95	English	Primarily home	White	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	No	Heterosexual	Yes	Yes	0	0	1	0	0	0	Already paying	1-3 yr	id99230
Manager	25	More	1	0	0	0	0	1	0	0	California	0	0	0	1	0	0	College	Never	Female	$75-99	0	0	0	0	0	0	0	0	1	USA	Management	Married	Privacy	1	NT	English	Work	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	0	1	Other	4-6 yr	id92993
College Student	19	More	0	0	1	0	0	0	0	0	West Virginia	0	0	0	1	0	0	Some College	Never	Female	Not Say	0	0	0	0	0	0	0	0	1	USA	Education	Single	Censorship	2	Windows	English	School	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	1	0	0	Cost too high	1-3 yr	id95275
College Student	Not Say!	More	0	1	0	0	0	0	0	0	Washington	0	0	0	0	1	0	High School	Over 75	Male	Not Say	0	1	0	0	1	0	0	0	0	USA	Education	Not Say	Privacy	1	Macintosh	English	Primarily work	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Not say	Yes	Yes	0	0	0	1	1	0	Other sources	4-6 yr	id92928
Homemaker	36	More	0	1	0	0	0	0	0	0	North Carolina	0	0	0	1	0	0	High School	Under 25	Female	$50-74	0	0	0	0	0	0	0	1	0	USA	Other	Married	Taxes	1	Win95	English	Home	White	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	1	No	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other sources	4-6 yr	id96493
College Student	21	Equally	0	0	0	1	0	0	0	0	United Kingdom	0	0	0	1	0	0	College	Never	Female	$75-99	0	0	0	0	0	0	0	0	1	Europe	Education	Single	Navigation	1	Win95	English	School	White	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	Yes	Heterosexual	Yes	No	0	0	0	1	0	0	Other sources	Under 6 mo	id98829
Programmer	33	More	0	0	0	0	0	1	0	0	Virginia	0	0	0	1	0	0	Masters	Under 25	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Computer	Married	Navigation	4	NT	English	Primarily work	Asian	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Not say	Yes	Yes	0	0	0	0	0	1	Other sources	1-3 yr	id97582
College Educator	45	Equally	0	1	0	0	0	0	0	0	Georgia	0	0	0	1	0	0	Doctoral	Never	Male	$75-99	0	0	1	0	0	0	0	0	0	USA	Education	Married	Other	1	Macintosh	English	Primarily work	White	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other sources	4-6 yr	id95470
Other	52	More	0	1	0	0	0	0	1	1	Alabama	0	0	0	1	0	0	Some College	Never	Female	$20-29	0	0	0	0	0	0	0	0	1	USA	Computer	Divorced	Censorship	1	Macintosh	English	Primarily work	White	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	1	Already paying	1-3 yr	id93706
Salesperson	74	Equally	1	0	0	0	0	0	0	0	Florida	0	0	0	1	0	0	Some College	NA	Female	$20-29	1	0	0	0	0	0	0	0	0	USA	Professional	Widowed	Navigation	1		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	Under 6 mo	id95057
College Student	Not Say!	More	0	1	0	0	0	0	0	0	North Carolina	0	0	0	1	0	0	College	Under 25	Female	Over $100	0	0	0	0	0	0	0	0	1	USA	Education	Married	Censorship	1	Macintosh	English	Primarily home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Not say	No	No	0	0	0	0	1	0	Cost too high	4-6 yr	id95459
College Student	23	Dont Know	0	1	0	0	0	0	0	0	Ohio	0	0	0	1	0	0	College	NA	Male	Under $10	0	0	0	0	0	0	1	0	0	USA	Education	Single	Privacy	1	Win95	English	Primarily home	White	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	1	0	0	Already paying	4-6 yr	id95471
Other	29	Dont Know	0	0	1	0	0	0	0	0	Wisconsin	0	0	0	1	0	0	College	NA	Female	$75-99	0	0	0	0	0	0	0	0	1	USA	Management	Other	Privacy	4	Win95	English	Home	White	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	No	Heterosexual	Yes	No	0	1	0	0	0	0	Other sources	6-12 mo	id96069
CEO	33	Equally	1	1	0	0	0	1	0	0	New York	0	0	0	1	0	0	Masters	Over 75	Male	$75-99	0	0	0	1	0	0	0	0	0	USA	Management	Married	Culture	3	Macintosh	English	Primarily work	White	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Other sources	Over 7 yr	id97323
Health Care Worker	53	More	0	0	0	0	0	1	0	0	Ontario	0	0	0	1	0	0	Doctoral	Never	Female	$40-49	0	0	0	1	0	0	0	0	0	Canada	Professional	Married	Privacy	3	NT	English	Work	White	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	1	No	Heterosexual	No	No	0	0	0	0	0	1	Already paying	1-3 yr	id90787
IS	39	More	0	0	0	0	0	1	0	0	Switzerland	0	0	0	1	0	0	College	Under 25	Male	$75-99	0	0	1	0	0	0	0	0	0	Europe	Computer	Divorced	Censorship	4	Win95	German	Primarily work	White	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Other sources	Over 7 yr	id94639
Service Industry Occupation	45	Dont Know	0	0	1	0	0	0	0	0	Florida	0	0	0	1	0	0	Some College	Never	Male	$20-29	1	0	0	0	0	0	0	0	0	USA	Other	Single	Privacy	2		English	Home	White	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	Yes	Gay male	No	No	0	0	0	0	1	0	Already paying	Under 6 mo	id99602
Manager	29	Equally	0	0	0	0	0	1	0	0	France	0	0	0	1	0	0	College	Under 25	Male	$75-99	0	0	0	0	0	0	1	0	0	Europe	Management	Other	Dont Know	3	Macintosh	Italian	Primarily home	Other	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Don't trust	4-6 yr	id95472
Other	47	Dont Know	0	1	0	0	0	0	0	0	California	0	0	0	1	0	0	College	Never	Female	$50-74	1	0	0	0	0	0	0	0	0	USA	Computer	Married	Taxes	2	Win95	English	Primarily work	Other	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Already paying	Over 7 yr	id90571
College Student	21	More	0	1	0	0	0	0	0	0	Texas	0	0	0	1	0	0	Some College	26-50	Female	$10-19	0	1	0	0	0	0	0	0	0	USA	Education	Single	Privacy	1		English	Home	Latino	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	6-12 mo	id96166
Homemaker	53	More	0	1	0	0	0	0	0	0	Pennsylvania	0	0	0	1	0	0	High School	Never	Female	$20-29	0	0	0	0	0	0	0	0	1	USA	Other	Married	Privacy	4	Windows	English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	Yes	0	1	0	0	0	0	Other	6-12 mo	id97612
Homemaker	45	More	1	1	0	0	0	0	0	1	Alabama	0	0	0	0	0	1	Masters	Never	Female	Over $100	0	0	0	0	0	0	0	1	0	USA	Other	Married	Taxes	1	Win95	English	Home	White	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	1-3 yr	id94153
College Student	20	Dont Know	0	0	1	0	0	0	0	0	Alberta	0	0	0	1	0	0	Some College	Under 25	Female	$20-29	0	0	0	0	0	0	1	0	0	Canada	Education	Other	Navigation	4	Win95	English	School	White	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	Yes	Bisexual	No	No	0	0	0	1	0	0	Already paying	Under 6 mo	id97088
Other	37	More	0	0	0	0	0	0	0	1	North Carolina	0	0	0	1	0	0	Doctoral	NA	Female	$50-74	0	0	0	1	0	0	0	0	0	USA	Professional	Married	Privacy	1	Win95	English	Primarily work	Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	1	Already paying	4-6 yr	id96616
Mircocomputer	50	More	0	0	0	0	0	1	0	0	California	0	0	0	1	0	0	Some College	51-75	Female	Not Say	0	0	1	0	0	0	0	0	0	USA	Computer	Single	Privacy	4	Macintosh	English	Distributed	White	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Cost too high	Over 7 yr	id92399
Other	30	Dont Know	0	0	1	0	0	0	0	0	New Zealand	0	0	0	1	0	0	College	Never	Male	Not Say	0	0	0	1	0	0	0	0	0	Oceania	Other	Single	Other	4	Win95	English	Home	White	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Other sources	Under 6 mo	id93101
Homemaker	69	More	0	0	1	0	0	0	0	0	Florida	0	0	0	1	0	0	Special	Never	Female	Not Say	0	1	0	0	0	0	0	0	0	USA	Other	Married	Privacy	1	Win95	Frenchfrench	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	1-3 yr	id93316
Vice President	35	More	0	0	0	1	0	0	0	0	Minnesota	0	0	0	1	0	0	College	Never	Male	$50-74	0	0	1	0	0	0	0	0	0	USA	Management	Married	Censorship	1	Macintosh	English	Primarily home	White	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Cost too high	4-6 yr	id33434
Other	55	Equally	0	0	1	0	0	0	0	0	United Kingdom	0	1	0	0	0	0	Professional	26-50	Male	$30-39	0	0	0	1	0	0	0	0	0	Europe	Computer	Married	Taxes	4	Win95	English	Primarily work	White	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Other sources	6-12 mo	id90784
College Educator	45	More	0	1	0	0	0	0	0	0	Michigan	0	0	0	1	0	0	Some College	Never	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Education	Married	Taxes	4	Win95	English	Primarily home	White	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Other sources	1-3 yr	id95991
Retired	Not Say!	Dont Know	0	0	0	1	0	0	0	0	Massachusetts	0	0	0	0	0	1	College	Never	Male	$50-74	1	0	0	0	0	0	0	0	0	USA	Other	Widowed	Don't Know	1		English	Home	White	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	Under 6 mo	id93914
Homemaker	43	More	0	0	0	0	0	0	0	1	Tennessee	0	0	1	0	0	0	Professional	Never	Female	$30-39	1	0	0	0	0	0	0	0	0	USA	Other	Single	Privacy	4		English	Home	White	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Other sources	Under 6 mo	id95915
College Student	22	Equally	1	0	0	0	0	0	0	0	Ohio	0	0	0	1	0	0	Some College	Never	Male	$20-29	0	0	0	1	0	0	0	0	0	USA	Education	Married	Privacy	2	Windows	English	Primarily home	Hispanic	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	1	0	0	Other sources	1-3 yr	id93674
Other	54	Dont Know	1	0	0	0	0	0	0	0	Michigan	0	0	0	1	0	0	Some College	Not Say	Male	Not Say	0	0	0	0	0	0	0	0	1	USA	Computer	Married	Privacy	2	Windows	English	Primarily home	White	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	"Yes, regardless"	1-3 yr	id97367
Other	44	Dont Know	0	0	1	0	0	0	0	0	Oregon	0	0	0	1	0	0	High School	Under 25	Male	$40-49	0	0	0	0	0	0	0	0	1	USA	Other	Married	Encryption	4	Win95	English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	1-3 yr	id43042
Manager	31	More	0	1	0	0	0	0	0	0	Washington	0	0	0	1	0	0	Some College	Under 25	Male	$30-39	0	0	0	0	0	0	1	0	0	USA	Management	Single	Privacy	2	Win95	English	Primarily home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	1	Dont trust	6-12 mo	id96702
Other	49	More	0	1	0	0	0	0	0	0	Washington	0	0	0	1	0	0	Some College	51-75	Male	$30-39	0	0	0	0	0	0	0	1	0	USA	Management	Divorced	Censorship	1	Macintosh	English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Dont trust	1-3 yr	id97332
Other	30	More	0	1	0	0	0	1	0	0	United Kingdom	0	0	0	1	0	0	Special	Under 25	Male	$30-39	0	0	0	0	0	0	0	0	1	Europe	Computer	Married	Censorship	4	Win95	English	Primarily home	White	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Other sources	1-3 yr	id91127
Other	50	Dont Know	0	0	1	0	0	0	0	0	Virginia	0	0	0	1	0	0	College	Never	Male	$75-99	0	0	0	0	0	0	0	0	1	USA	Management	Married	Privacy	1	Windows	English	Primarily work	White	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	1	Already paying	1-3 yr	id92008
Administrator/Secretary	27	Dont Know	0	1	0	1	0	0	0	0	California	0	0	0	1	0	0	College	26-50	Male	$20-29	0	0	0	0	0	0	0	0	1	USA	Other	Single	Privacy	1		English	Primarily home	White	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	Yes	Not say	Yes	No	0	0	0	0	1	1	Already paying	1-3 yr	id96199
K-12 Educator	28	More	0	1	0	0	0	0	0	0	Pennsylvania	0	0	0	1	0	0	College	Under 25	Female	$30-39	0	0	0	0	0	0	0	0	1	USA	Education	Single	Censorship	1	Win95	English	Public	White	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	No	Yes	0	0	0	0	0	1	Other sources	1-3 yr	id97871
College Student	19	Equally	1	1	0	0	0	1	0	0	New York	0	0	0	1	0	0	Some College	51-75	Male	$10-19	0	0	0	0	0	0	0	0	1	USA	Education	Single	Encryption	2	Macintosh	English	School	White	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	Not Applicable	Heterosexual	Yes	Yes	0	0	0	1	0	0	Other sources	1-3 yr	id95820
Retired	53	Equally	1	0	0	0	0	1	1	0	Illinois	0	0	0	0	0	1	Masters	Under 25	Male	$40-49	0	0	0	1	0	0	0	0	1	USA	Other	Married	Navigation	1		English	Home	White	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	1-3 yr	id87614
Other	50	More	0	1	0	0	0	0	0	0	Michigan	0	0	0	1	0	0	Some College	Never	Male	$75-99	0	0	0	0	0	0	0	0	1	USA	Management	Married	Privacy	1		English	Home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Dont trust	Under 6 mo	id93805
Manager	47	Equally	0	0	0	0	0	1	0	0	United Kingdom	0	0	0	1	0	0	Doctoral	Never	Male	$50-74	0	1	0	0	0	0	0	0	0	Europe	Management	Divorced	Privacy	1	NT	English	Primarily work	White	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	Yes	Heterosexual	No	Yes	0	0	0	0	1	1	Poor quality	1-3 yr	id97253
Other	40	Dont Know	1	1	0	0	0	0	0	0	New York	0	0	0	1	0	0	Special	Never	Male	$40-49	1	0	0	0	0	0	0	0	0	USA	Other	Divorced	Censorship	2		English	Home	White	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	6-12 mo	id95410
College Educator	42	Equally	0	1	0	0	0	1	0	0	Turkey	0	0	0	1	0	0	Doctoral	NA	Female	Under $10	0	1	0	0	0	0	0	0	0	Europe	Education	Single	Navigation	4	Windows	Turkish	Work	White	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	Yes	Heterosexual	No	No	0	0	0	0	0	1	Cost too high	1-3 yr	id93481
Technician	28	Dont Know	0	0	1	0	0	0	0	0	Tennessee	0	0	0	1	0	0	Special	Never	Male	Not Say	0	0	0	0	0	0	0	0	1	USA	Professional	Single	Don't Know	2		English	Home	White	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	Not Say	Heterosexual	No	Yes	0	0	0	0	1	0	Already paying	Under 6 mo	id98887
Retired	60	More	0	0	0	1	0	0	0	0	Florida	0	0	0	1	0	0	Some College	Not Say	Female	Not Say	0	0	0	0	0	0	0	0	1	USA	Other	Married	Censorship	1		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	6-12 mo	id98346
Technician	52	More	1	0	0	0	1	0	0	1	California	0	0	0	1	0	0	College	Never	Male	Not Say	0	0	0	0	0	0	0	0	1	USA	Professional	Single	Privacy	1		English	Home	White	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	Yes	Gay male	Yes	Yes	0	0	0	0	1	0	Already paying	1-3 yr	id97594
Other	58	More	0	0	0	0	0	0	0	1	Virginia	0	0	0	1	0	0	College	Under 25	Male	$20-29	0	0	0	1	0	0	0	0	0	USA	Computer	Divorced	Navigation	1		English	Home	White	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	Yes	Transgender	Yes	Yes	0	0	0	0	1	0	Other sources	Over 7 yr	id97698
Programmer	31	Dont Know	0	1	0	0	0	1	0	0	Australia	0	0	0	1	0	0	College	NA	Male	$50-74	0	0	1	0	0	0	0	0	0	Oceania	Computer	Married	Encryption	1	Unix	English	Primarily work	White	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Other sources	Over 7 yr	id92077
College Student	31	Equally	0	0	1	0	0	0	0	0	Germany	0	0	0	1	0	0	Masters	Never	Male	$10-19	0	0	0	0	0	0	1	0	1	Europe	Education	Single	Taxes	1	Win95	German	Primarily work	White	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Cost too high	1-3 yr	id97741
Technician	46	More	1	1	0	1	0	0	0	0	California	0	0	0	1	0	0	Some College	Never	Male	$20-29	0	0	0	0	0	0	0	0	1	USA	Professional	Single	Taxes	2		English	Home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Bisexual	Yes	No	0	0	0	0	1	0	Already paying	Under 6 mo	id99583
Technician	38	Dont Know	0	0	0	1	0	0	0	0	California	0	0	0	1	0	0	Special	Over 75	Male	Over $100	0	0	0	0	0	0	0	0	1	USA	Professional	Divorced	Navigation	1		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Other sources	6-12 mo	id97329
Other	30	More	0	1	0	0	0	0	0	0	Pennsylvania	0	0	0	1	0	0	High School	Over 75	Male	$20-29	0	0	0	0	0	0	0	0	1	USA	Other	Single	Privacy	4		English	Home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	6-12 mo	id96527
K-12 Student	16	More	0	0	0	0	0	0	0	1	Colorado	0	0	0	1	0	0	Grammar	Never	Male	Over $100	0	0	0	0	0	0	0	0	1	USA	Education	Single	Censorship	1	Win95	English	Home	Hispanic	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Not Applicable	Heterosexual	No	Yes	0	1	0	0	0	0	Cost too high	1-3 yr	id92401
K-12 Student	50	Dont Know	0	1	0	0	0	0	0	0	New York	0	0	0	1	0	0	Masters	Never	Female	$50-74	0	0	0	0	1	0	0	0	0	USA	Education	Single	Privacy	4		English	Primarily home	White	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other	6-12 mo	id94312
K-12 Educator	38	Dont Know	0	0	1	0	0	0	0	0	Idaho	0	0	0	1	0	0	Masters	Never	Male	$20-29	0	0	0	0	0	0	0	0	1	USA	Education	Married	Other	1	Win95	English	Primarily home	White	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	Yes	Not say	No	No	0	0	0	1	0	0	Other sources	1-3 yr	id95474
Other	60	Dont Know	0	0	1	0	0	0	0	0	California	0	0	0	1	0	0	Some College	Not Say	Female	Not Say	0	0	0	0	0	0	0	0	1	USA	Management	Married	Privacy	1	DOS	English	Home	White	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	Yes	Not say	No	No	0	0	0	0	1	0	Already paying	Under 6 mo	id98147
Homemaker	52	More	0	0	1	0	0	0	0	0	Colorado	0	0	0	1	0	0	High School	Not Say	Female	Not Say	0	0	0	0	1	0	0	0	0	USA	Other	Married	Navigation	3		English	Home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Not Say	Not say	Yes	No	0	0	0	0	1	0	"Yes, regardless"	6-12 mo	id91319
Other	44	Equally	0	0	1	0	0	0	0	0	Michigan	0	0	0	1	0	0	Masters	Never	Male	$75-99	0	0	0	0	0	0	0	0	1	USA	Computer	Married	Privacy	4	Macintosh	English	Primarily work	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Other sources	4-6 yr	id92058
Other	39	Dont Know	0	0	0	0	0	1	0	0	New York	0	0	0	1	0	0	High School	Never	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Other	Married	Privacy	1	Win95	English	Home	White	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	1-3 yr	id99832
Investor	24	More	0	0	0	1	0	0	0	0	Illinois	0	0	0	1	0	0	College	Under 25	Male	$50-74	0	0	0	0	0	0	1	0	0	USA	Professional	Married	Privacy	2	Win95	English	Primarily work	White	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	1	0	1	Other sources	4-6 yr	id91594
College Student	23	Dont Know	0	0	1	0	0	0	0	0	Wisconsin	0	0	0	1	0	0	High School	51-75	Male	Under $10	0	0	0	1	0	0	0	0	0	USA	Education	Single	Privacy	1	Win95	English	School	White	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	1	0	0	Cost too high	4-6 yr	id97699
Other	26	Equally	1	1	0	0	0	1	0	0	Ontario	0	0	0	1	0	0	Some College	Not Say	Male	$75-99	0	0	0	0	0	0	0	0	1	Canada	Computer	Single	Censorship	2	Macintosh	English	Primarily home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Other sources	Over 7 yr	id93289
Consultant	34	Equally	0	0	0	1	1	1	0	0	Quebec	0	0	0	1	0	0	College	Under 25	Male	Not Say	0	0	0	0	0	0	0	0	1	Canada	Professional	Married	Encryption	1	Win95	French	Other	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Other sources	1-3 yr	id90598
Not looking	50	Dont Know	1	0	0	0	0	0	0	1	Maryland	0	0	0	1	0	0	Some College	Never	Female	$75-99	0	0	0	0	0	0	0	0	1	USA	Other	Married	Privacy	1	Macintosh	English	Home	White	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Other sources	Under 6 mo	id93246
Other	51	Dont Know	0	0	1	0	0	0	0	0	Colorado	0	1	0	0	0	0	College	Not Say	Male	Not Say	0	0	0	0	0	0	0	0	1	USA	Other	Not Say	Other	1	Win95	English	Home	Other	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Yes	Gay male	No	Yes	0	0	0	0	1	0	Other	6-12 mo	id90450
Service Industry Occupation	20	More	0	1	0	0	1	0	0	0	Florida	0	0	0	1	0	0	High School	Never	Male	$40-49	0	0	0	0	0	0	0	1	0	USA	Other	Single	Dont Know	2		English	Home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	No	Bisexual	No	No	0	0	0	0	1	0	Other sources	6-12 mo	id94033
